svyear,vsic1993,ER,XR,XSH,ESH,XRS,ERS
2000-2005,111,0.324324324324324,0.648648648648649,0.480316733591023,0.0313988480075232,0.500634869054497,0.0297153036428075
2000-2005,112,1,0.333333333333333,0.0328580285182889,0.440585109297102,0.067948717948718,0.787582019390853
2000-2005,113,0.473170731707317,0.473170731707317,0.348622328940425,0.225391511962901,0.595901328978306,0.296974230446623
2000-2005,115,0.472222222222222,0.722222222222222,0.657438660753478,0.596175959955807,0.738148163254208,0.78158439255099
2000-2005,116,3.1875,0.5,0.109723854289072,0.173985417037169,0.123246988945719,0.0371704198959569
2000-2005,117,2.5,0.916666666666667,0.894678369070103,0.878537853785378,0.772247794399693,0.723301770275834
2000-2005,121,1.33333333333333,0.5625,0.321122451621973,0.209384103830907,0.367904208076729,0.0827614683238849
2000-2005,122,0.583333333333333,0.541666666666667,0.423164005374548,0.170249556033274,0.620734236486119,0.131902482198174
2000-2005,123,1.38461538461538,0.538461538461538,0.663142907990746,0.2196471518189,1.68738678903514,0.0938238611464327
2000-2005,130,0.466666666666667,0.666666666666667,0.617446377852502,0.192792525582085,0.807006315070831,0.170599196871473
2000-2005,140,0.642335766423358,0.576642335766423,0.325302599404849,0.598258825387512,0.353980549375775,0.973033833541851
2000-2005,200,0.385041551246537,0.515235457063712,0.379823414196109,0.490019822186695,0.576224171216951,1.168240496316
2000-2005,500,0.304089479203076,0.831527437958756,0.634470475931768,0.663612643139593,0.351675045996085,1.10429395740256
2000-2005,1010,1.03030303030303,0.454545454545455,0.535372059718249,0.584537734822657,1.38271166230838,0.827622037393688
2000-2005,1020,1.5,0.5,0.597359328726555,0.912010705921713,1.48360404535703,3.45500633713561
2000-2005,1030,3,0.6,0.44527480843818,0.901617767114843,0.535129604365621,0.610962461191081
2000-2005,1110,2.33333333333333,0.333333333333333,0.034461153715258,0.322818642290663,0.0713822211252497,0.204303980198141
2000-2005,1310,2.75,0.583333333333333,0.569318558638223,0.887410490963773,0.944215548334762,0.716529290226759
2000-2005,1320,2.47058823529412,0.588235294117647,0.745470652420514,0.419936996230063,2.0501740237691,0.155132284954078
2000-2005,1410,2.82950819672131,0.518032786885246,0.294143413703904,0.555956776209323,0.387706341611372,0.211815550601479
2000-2005,1421,2.25,0.25,0.0463451304202563,0.160120007127495,0.14579214734366,0.0635487643021724
2000-2005,1422,0.454545454545455,0.636363636363636,0.579794516323988,0.460706107522472,0.788450329792899,0.659013312280905
2000-2005,1429,0.925925925925926,0.62962962962963,0.442928072468935,0.416247202011936,0.467706075472987,0.285221555046283
2000-2005,1511,1.72093023255814,0.465116279069768,0.245601040807914,0.215368811780828,0.374392347030248,0.0927311261675402
2000-2005,1512,1.05689277899344,0.531728665207877,0.510624612075407,0.55958971154347,0.918897605925361,0.58663773795377
2000-2005,1513,2.02666666666667,0.466666666666667,0.170559862607776,0.397924628800927,0.235008590106189,0.191319415885929
2000-2005,1514,0.613636363636364,0.636363636363636,0.355617585164707,0.652828038974547,0.315356291523704,0.835740865255322
2000-2005,1520,2.26666666666667,0.4,0.0143568071738277,0.0455348186778224,0.0218488910768945,0.00982206139479429
2000-2005,1531,0.334785314250156,0.567517112632234,0.581248752123891,0.388428540855054,1.05778130113729,0.815754908300612
